Date,Close,Volume,Open,High,Low,Company,day,month,year,quarter
4/24/2024,169.02,48251840,166.54,169.3,166.21,Apple Inc,24,4,2024,2
4/23/2024,166.9,49537760,165.35,167.05,164.92,Apple Inc,23,4,2024,2
4/22/2024,165.84,48116440,165.515,167.26,164.77,Apple Inc,22,4,2024,2
4/19/2024,165,68149380,166.21,166.4,164.075,Apple Inc,19,4,2024,2
4/18/2024,167.04,43122900,168.03,168.64,166.55,Apple Inc,18,4,2024,2
4/17/2024,168,50901210,169.61,170.65,168,Apple Inc,17,4,2024,2
4/16/2024,169.38,73711240,171.75,173.76,168.27,Apple Inc,16,4,2024,2
4/15/2024,172.69,73531770,175.36,176.63,172.5,Apple Inc,15,4,2024,2
4/12/2024,176.55,101670900,174.26,178.36,174.21,Apple Inc,12,4,2024,2
4/11/2024,175.04,91070280,168.34,175.46,168.16,Apple Inc,11,4,2024,2
4/10/2024,167.78,49709340,168.8,169.09,167.11,Apple Inc,10,4,2024,2
4/9/2024,169.67,42451210,168.7,170.08,168.35,Apple Inc,9,4,2024,2
4/8/2024,168.45,37425510,169.03,169.2,168.24,Apple Inc,8,4,2024,2
4/5/2024,169.58,42104830,169.59,170.39,168.95,Apple Inc,5,4,2024,2
4/4/2024,168.82,53704390,170.29,171.92,168.82,Apple Inc,4,4,2024,2
4/3/2024,169.65,47691720,168.79,170.68,168.58,Apple Inc,3,4,2024,2
4/2/2024,168.84,49329480,169.08,169.34,168.2302,Apple Inc,2,4,2024,2
4/1/2024,170.03,46240500,171.19,171.25,169.475,Apple Inc,1,4,2024,2
3/28/2024,171.48,65672690,171.75,172.23,170.51,Apple Inc,28,3,2024,1
3/27/2024,173.31,60273270,170.41,173.6,170.11,Apple Inc,27,3,2024,1
3/26/2024,169.71,57388450,170,171.42,169.58,Apple Inc,26,3,2024,1
3/25/2024,170.85,54288330,170.565,171.94,169.45,Apple Inc,25,3,2024,1
3/22/2024,172.28,71160140,171.76,173.05,170.06,Apple Inc,22,3,2024,1
3/21/2024,171.37,106181300,177.05,177.49,170.84,Apple Inc,21,3,2024,1
3/20/2024,178.67,53423100,175.72,178.67,175.09,Apple Inc,20,3,2024,1
3/19/2024,176.08,55215240,174.34,176.605,173.03,Apple Inc,19,3,2024,1
3/18/2024,173.72,75604180,175.57,177.71,173.52,Apple Inc,18,3,2024,1
3/15/2024,172.62,121752700,171.17,172.62,170.285,Apple Inc,15,3,2024,1
3/14/2024,173,72913510,172.91,174.3078,172.05,Apple Inc,14,3,2024,1
3/13/2024,171.13,52488690,172.77,173.185,170.76,Apple Inc,13,3,2024,1
3/12/2024,173.23,59825370,173.15,174.03,171.01,Apple Inc,12,3,2024,1
3/11/2024,172.75,60139470,172.94,174.38,172.05,Apple Inc,11,3,2024,1
3/8/2024,170.73,76267040,169,173.7,168.94,Apple Inc,8,3,2024,1
3/7/2024,169,71765060,169.15,170.73,168.49,Apple Inc,7,3,2024,1
3/6/2024,169.12,68587710,171.06,171.24,168.68,Apple Inc,6,3,2024,1
3/5/2024,170.12,95132360,170.76,172.04,169.62,Apple Inc,5,3,2024,1
3/4/2024,175.1,81510100,176.15,176.9,173.79,Apple Inc,4,3,2024,1
3/1/2024,179.66,73563080,179.55,180.53,177.38,Apple Inc,1,3,2024,1
2/29/2024,180.75,136682600,181.27,182.57,179.53,Apple Inc,29,2,2024,1
2/28/2024,181.42,48953940,182.51,183.12,180.13,Apple Inc,28,2,2024,1
2/27/2024,182.63,54318850,181.1,183.9225,179.56,Apple Inc,27,2,2024,1
2/26/2024,181.16,40867420,182.24,182.76,180.65,Apple Inc,26,2,2024,1
2/23/2024,182.52,45119680,185.01,185.04,182.23,Apple Inc,23,2,2024,1
2/22/2024,184.37,52292210,183.48,184.955,182.46,Apple Inc,22,2,2024,1
2/21/2024,182.32,41529670,181.94,182.8888,180.66,Apple Inc,21,2,2024,1
2/20/2024,181.56,53665550,181.79,182.43,180,Apple Inc,20,2,2024,1
2/16/2024,182.31,49752470,183.42,184.85,181.665,Apple Inc,16,2,2024,1
2/15/2024,183.86,65434500,183.55,184.49,181.35,Apple Inc,15,2,2024,1
2/14/2024,184.15,54630520,185.32,185.53,182.44,Apple Inc,14,2,2024,1
2/13/2024,185.04,56529530,185.77,186.21,183.5128,Apple Inc,13,2,2024,1
2/12/2024,187.15,41781930,188.415,188.67,186.79,Apple Inc,12,2,2024,1
2/9/2024,188.85,45155220,188.65,189.99,188,Apple Inc,9,2,2024,1
2/8/2024,188.32,40962050,189.385,189.535,187.35,Apple Inc,8,2,2024,1
2/7/2024,189.41,53438960,190.64,191.05,188.61,Apple Inc,7,2,2024,1
2/6/2024,189.3,43490760,186.86,189.31,186.7695,Apple Inc,6,2,2024,1
2/5/2024,187.68,69668820,188.15,189.25,185.84,Apple Inc,5,2,2024,1
2/2/2024,185.85,102551700,179.86,187.33,179.25,Apple Inc,2,2,2024,1
2/1/2024,186.86,64885410,183.985,186.95,183.82,Apple Inc,1,2,2024,1
1/31/2024,184.4,55467800,187.04,187.095,184.35,Apple Inc,31,1,2024,1
1/30/2024,188.04,55859370,190.94,191.8,187.47,Apple Inc,30,1,2024,1
1/29/2024,191.73,47145620,192.01,192.2,189.58,Apple Inc,29,1,2024,1
1/26/2024,192.42,44594010,194.27,194.76,191.94,Apple Inc,26,1,2024,1
1/25/2024,194.17,54822130,195.22,196.2675,193.1125,Apple Inc,25,1,2024,1
1/24/2024,194.5,53631320,195.42,196.38,194.34,Apple Inc,24,1,2024,1
1/23/2024,195.18,42355590,195.02,195.75,193.8299,Apple Inc,23,1,2024,1
1/22/2024,193.89,60133850,192.3,195.33,192.26,Apple Inc,22,1,2024,1
1/19/2024,191.56,68902990,189.33,191.95,188.82,Apple Inc,19,1,2024,1
1/18/2024,188.63,78005750,186.09,189.14,185.83,Apple Inc,18,1,2024,1
1/17/2024,182.68,47317430,181.27,182.93,180.3,Apple Inc,17,1,2024,1
1/16/2024,183.63,65603040,182.16,184.26,180.934,Apple Inc,16,1,2024,1
1/12/2024,185.92,40477780,186.06,186.74,185.19,Apple Inc,12,1,2024,1
1/11/2024,185.59,49128410,186.54,187.05,183.62,Apple Inc,11,1,2024,1
1/10/2024,186.19,46792910,184.35,186.4,183.92,Apple Inc,10,1,2024,1
1/9/2024,185.14,42841810,183.92,185.15,182.73,Apple Inc,9,1,2024,1
1/8/2024,185.56,59144470,182.085,185.6,181.5,Apple Inc,8,1,2024,1
1/5/2024,181.18,62379660,181.99,182.76,180.17,Apple Inc,5,1,2024,1
1/4/2024,181.91,71983570,182.15,183.0872,180.88,Apple Inc,4,1,2024,1
1/3/2024,184.25,58414460,184.22,185.88,183.43,Apple Inc,3,1,2024,1
1/2/2024,185.64,82488670,187.15,188.44,183.885,Apple Inc,2,1,2024,1
12/29/2023,192.53,42672150,193.9,194.4,191.725,Apple Inc,29,12,2023,4
12/28/2023,193.58,34049900,194.14,194.66,193.17,Apple Inc,28,12,2023,4
12/27/2023,193.15,48087680,192.49,193.5,191.09,Apple Inc,27,12,2023,4
12/26/2023,193.05,28919310,193.61,193.89,192.83,Apple Inc,26,12,2023,4
12/22/2023,193.6,37149570,195.18,195.41,192.97,Apple Inc,22,12,2023,4
12/21/2023,194.68,46482550,196.1,197.08,193.5,Apple Inc,21,12,2023,4
12/20/2023,194.83,52242820,196.9,197.68,194.83,Apple Inc,20,12,2023,4
12/19/2023,196.94,40714050,196.16,196.95,195.89,Apple Inc,19,12,2023,4
12/18/2023,195.89,55751860,196.09,196.63,194.39,Apple Inc,18,12,2023,4
12/15/2023,197.57,128538400,197.53,198.3999,197,Apple Inc,15,12,2023,4
12/14/2023,198.11,66831570,198.02,199.62,196.16,Apple Inc,14,12,2023,4
12/13/2023,197.96,70404180,195.09,198,194.85,Apple Inc,13,12,2023,4
12/12/2023,194.71,52696900,193.08,194.72,191.721,Apple Inc,12,12,2023,4
12/11/2023,193.18,60943700,193.11,193.49,191.42,Apple Inc,11,12,2023,4
12/8/2023,195.71,53406360,194.2,195.99,193.67,Apple Inc,8,12,2023,4
12/7/2023,194.27,47477660,193.63,195,193.59,Apple Inc,7,12,2023,4
12/6/2023,192.32,41089740,194.45,194.76,192.11,Apple Inc,6,12,2023,4
12/5/2023,193.42,66628400,190.21,194.4,190.18,Apple Inc,5,12,2023,4
12/4/2023,189.43,43389520,189.98,190.05,187.4511,Apple Inc,4,12,2023,4
12/1/2023,191.24,45704820,190.33,191.56,189.23,Apple Inc,1,12,2023,4
11/30/2023,189.95,48794370,189.84,190.32,188.19,Apple Inc,30,11,2023,4
11/29/2023,189.37,43014220,190.9,192.09,188.97,Apple Inc,29,11,2023,4
11/28/2023,190.4,38415420,189.78,191.08,189.4,Apple Inc,28,11,2023,4
11/27/2023,189.79,40552610,189.92,190.67,188.9,Apple Inc,27,11,2023,4
11/24/2023,189.97,24048340,190.87,190.9,189.25,Apple Inc,24,11,2023,4
11/22/2023,191.31,39630010,191.49,192.93,190.825,Apple Inc,22,11,2023,4
11/21/2023,190.64,38134490,191.41,191.52,189.74,Apple Inc,21,11,2023,4
11/20/2023,191.45,46538610,189.89,191.905,189.88,Apple Inc,20,11,2023,4
11/17/2023,189.69,50941400,190.25,190.38,188.57,Apple Inc,17,11,2023,4
11/16/2023,189.71,54412920,189.57,190.96,188.65,Apple Inc,16,11,2023,4
11/15/2023,188.01,53790500,187.845,189.5,187.78,Apple Inc,15,11,2023,4
11/14/2023,187.44,60108380,187.7,188.11,186.3,Apple Inc,14,11,2023,4
11/13/2023,184.8,43627520,185.82,186.03,184.21,Apple Inc,13,11,2023,4
11/10/2023,186.4,66177920,183.97,186.565,183.53,Apple Inc,10,11,2023,4
11/9/2023,182.41,53763540,182.96,184.12,181.81,Apple Inc,9,11,2023,4
11/8/2023,182.89,49340280,182.35,183.45,181.59,Apple Inc,8,11,2023,4
11/7/2023,181.82,70529970,179.18,182.44,178.97,Apple Inc,7,11,2023,4
11/6/2023,179.23,63841310,176.38,179.43,176.21,Apple Inc,6,11,2023,4
11/3/2023,176.65,79829250,174.24,176.82,173.35,Apple Inc,3,11,2023,4
11/2/2023,177.57,77334750,175.52,177.78,175.46,Apple Inc,2,11,2023,4
11/1/2023,173.97,56934910,171,174.23,170.12,Apple Inc,1,11,2023,4
10/31/2023,170.77,44846020,169.35,170.9,167.9,Apple Inc,31,10,2023,4
10/30/2023,170.29,51130960,169.02,171.17,168.87,Apple Inc,30,10,2023,4
10/27/2023,168.22,58499130,166.91,168.96,166.83,Apple Inc,27,10,2023,4
10/26/2023,166.89,70625260,170.37,171.3775,165.67,Apple Inc,26,10,2023,4
10/25/2023,171.1,57156960,171.88,173.06,170.65,Apple Inc,25,10,2023,4
10/24/2023,173.44,43816640,173.05,173.67,171.45,Apple Inc,24,10,2023,4
10/23/2023,173,55980110,170.91,174.01,169.93,Apple Inc,23,10,2023,4
10/20/2023,172.88,64244030,175.31,175.42,172.64,Apple Inc,20,10,2023,4
10/19/2023,175.46,59302860,176.04,177.84,175.19,Apple Inc,19,10,2023,4
10/18/2023,175.84,54764380,175.58,177.575,175.11,Apple Inc,18,10,2023,4
10/17/2023,177.15,57549350,176.645,178.42,174.8,Apple Inc,17,10,2023,4
10/16/2023,178.72,52516980,176.75,179.075,176.51,Apple Inc,16,10,2023,4
10/13/2023,178.85,51456080,181.42,181.93,178.14,Apple Inc,13,10,2023,4
10/12/2023,180.71,56743120,180.07,182.34,179.04,Apple Inc,12,10,2023,4
10/11/2023,179.8,47551100,178.2,179.85,177.6,Apple Inc,11,10,2023,4
10/10/2023,178.39,43698020,178.1,179.72,177.95,Apple Inc,10,10,2023,4
